standby_char6: Descending,Count
0b56b878192dba95d66a3162d38911f2,8
0bca765b1f86eee23e3779777c28e3ea,8
0c1519343fc2edc14e9041c39e37a98b,8
0ca03e7966a15fd3ca6c0e125dd239f9,8
0d3e6a7d9bff3c27501793686520badb,8
0e13017affdab588332eef375f6fe3c4,8
1298a7049a8c6be441870bc0305ed9de,8
1300fa76bba46e0da7a67ba7b1e52e18,8
1412a6785b953d99a2a83a1ed706ace8,8
14234f03e38585ffb0cefff83815eda9,8
144cd6ad5bdeb00b9c567a5ae17396de,8
149628a78342c30256f3d81038983a4f,8
159164e48e1de0fdfd19ffcaf8ef8ddd,8
15a9525376ad460e8e05458d9fd62dea,8
1963c5c2aaec4acd7b4a338977a3252a,8
197d71ccfd9becd2398b500fe791161a,8
1a15e6606bac9647e7ad3caa543377cf,8
1d566ef3692785e87c3c3b40ddfb9425,8
1ed75df5c9886551f42d0e6d381e78fb,8
1f158d4ad846365bc41b4814f528569a,8
228abcf1bba2662ad804f48966ef5fff,8
234ee431f0f44f61a25a9aa5dde724f9,8
26a60de98dc31c053d0e1b099483cc87,8
27431443d704d0526d3b8730d8964d4f,8
27edcc8e603cb04e4430bc17497eb52a,8
2965e2fc5e39d61235d05b14ea1aa5b3,8
29d9fcdf65b7c823688a035937bb6697,8
2a5a58cbe0323298c0470e23529e9465,8
2bec620612232442087ff35a58f9fbd8,8
2c57d88debf6ca2c85fe3a78c3a80567,8
2d0f26cbe138e7b4fe0d93b16b193ffb,8
2d1aae7f9a7daeb2d79cc0fd1bc9cc4a,8
2d1d43ba01242b0750d12cb2e60ff434,8
2eb824fac0a1c01da93841da4360c99f,8
310c22f54d70774e4331b17967e5421c,8
364f7a2b4b535659f3b50de5e5c20123,8
382cad0364114586039411b11c411644,8
3d126cc24d5527bde7d85761f12756a5,8
3ee89fb5448edef39d253602bfa8e2b9,8
3fc41e9d3038add631b5a3fbd7032845,8
428e77dde9075a51b8c90ac97740bec1,8
42bb3ebb703813759beb01fbffeadc64,8
43bcca061621cd1610265a7aab0e4bef,8
45622f274e378bb958a01ee88673d230,8
4872f7ee9f04235178f33b244f64f063,8
496d4f5b48ee1bd1dcfa773d0671b06c,8
4d535e546430399df6de3e7f98b7f873,8
4df1d9fd7a9b99d5188edb6c02785c35,8
50180451681d1f2a8d5b235b1eb058d3,8
50b4b4e573c23803c4bd9fdaa1aa879f,8
